postcode,lon,lat
1067,13.71232985,51.06548925
1069,13.73646805,51.03873576
1097,13.73985957,51.06407884
1099,13.8205712,51.08825837
1108,13.7866858,51.15607764
1109,13.7560411,51.11780085
1127,13.7259707,51.0753878
1129,13.72092809,51.09311417
1139,13.68889354,51.07642756
1156,13.62050034,51.06576192
1157,13.66500416,51.06405587
1159,13.69541673,51.03984106
1169,13.66669099,51.04302614
1187,13.70885872,51.02915575
1189,13.6989471,51.01355961
1217,13.74477812,51.01654998
1219,13.76981581,51.01833851
1237,13.79881955,51.01959251
1239,13.78358412,50.99869777
1257,13.81248319,51.00030746
1259,13.85007819,50.996639
1277,13.79895504,51.03548079
1279,13.82513126,51.02921747
1307,13.76857824,51.05419399
1309,13.79482015,51.05446875
1324,13.84178273,51.06111907
1326,13.83381336,51.04688021
1328,13.90262086,51.04077629
1445,13.63707471,51.11508434
1454,13.91439608,51.14044475
1458,13.82700356,51.17468608
1465,13.85170549,51.13963713
1468,13.67648401,51.14568428
1471,13.7264648,51.19840914
1477,13.98260766,51.09327524
1558,13.53745872,51.28844164
1561,13.69543235,51.29591208
1587,13.26562399,51.30250302
1589,13.3239192,51.28934693
1591,13.24107553,51.31493283
1594,13.29162116,51.26191556
1609,13.40696427,51.37619991
1612,13.40925076,51.30218421
1616,13.22062349,51.37829209
1619,13.31574713,51.37206007
1623,13.28849209,51.20766959
1640,13.57577248,51.1284412
1662,13.47748117,51.16679914
1665,13.44652411,51.09284122
1683,13.30580906,51.09155168
1689,13.56671036,51.18062921
1705,13.63474481,51.00745871
1723,13.49521094,51.03087423
1728,13.72671295,50.98460825
1731,13.75595936,50.95010726
1734,13.65965419,50.95762443
1737,13.5053888,50.9632321
1738,13.55566172,50.93525689
1744,13.6294847,50.85882953
1762,13.58616866,50.79573708
1768,13.76442083,50.86295394
1773,13.72963764,50.77616311
1774,13.54242913,50.88320186
1776,13.64041085,50.75721073
1778,13.84052891,50.7664983
1796,13.95349535,50.93614937
1809,13.85543168,50.94819318
1814,14.20283224,50.89654614
1816,13.96614871,50.84668609
1819,13.90236947,50.88566799
1824,14.08306443,50.87882439
1825,13.84207019,50.87105681
1829,14.00514787,50.9603433
1833,14.05808715,51.03805347
1844,14.21641125,51.03539192
1847,14.01935332,50.99059705
1848,14.14654545,50.97958026
1855,14.28904662,50.94655255
1877,14.22142666,51.12788136
1896,14.00327044,51.18947211
1900,14.01582057,51.1427982
1904,14.31943994,51.08931477
1906,14.22121429,51.19422645
1909,14.0872364,51.10375776
1917,14.10408515,51.2789634
1920,14.20544594,51.2548313
1936,13.91287567,51.31901728
1945,13.87832315,51.41870297
1968,14.02285611,51.52244545
1979,13.75564663,51.49914725
1983,14.02627413,51.58984546
1987,13.84289778,51.48917701
1990,13.7241716,51.3775402
1993,13.88703825,51.51133424
1994,13.9270349,51.56024585
1996,14.02513582,51.45979524
1998,13.88776801,51.54432946
2625,14.41447825,51.19075713
2627,14.5549778,51.16071067
2633,14.31921956,51.1558266
2681,14.41526384,51.08699037
2689,14.41533789,51.04019147
2692,14.39835726,51.1352694
2694,14.53291206,51.26825535
2699,14.32022325,51.28736181
2708,14.66618951,51.08858605
2727,14.6089408,50.97543198
2730,14.59880531,51.00570753
2733,14.52487314,51.10044161
2736,14.50343674,51.0659113
2739,14.65449206,50.9913577
2742,14.54242887,51.03389656
2747,14.75308551,51.01703211
2748,14.83198189,51.05175964
2763,14.78971754,50.92766345
2779,14.67815916,50.90235102
2782,14.60470616,50.93939973
2785,14.76801057,50.87957216
2788,14.85823148,50.96128899
2791,14.7257986,50.95653273
2794,14.67009291,50.93951799
2796,14.68413934,50.85373659
2797,14.75963879,50.84008412
2799,14.64559693,50.86387276
2826,14.97981902,51.14558016
2827,14.95422093,51.1114573
2828,14.98289417,51.18441022
2829,14.87858548,51.12094595
2894,14.77934755,51.16226842
2899,14.90662982,51.03940846
2906,14.74353026,51.29879355
2923,14.89088881,51.24339165
2929,14.93904149,51.3608172
2943,14.59469335,51.41398354
2953,14.66935289,51.53732364
2956,14.80040286,51.41189219
2957,14.75351331,51.47756633
2959,14.5304286,51.5197033
2977,14.22002732,51.43205415
2979,14.40133279,51.49473667
2991,14.08447138,51.44577638
2994,14.06568228,51.36998105
2997,14.24291987,51.37051032
2999,14.4147704,51.38252093
3042,14.37252072,51.74332464
3044,14.34025333,51.78177436
3046,14.31028121,51.75944073
3048,14.30866005,51.73625645
3050,14.34302947,51.7325682
3051,14.40421413,51.72086537
3052,14.44516942,51.78148792
3053,14.38548124,51.80511337
3054,14.35192617,51.83229173
3055,14.31705694,51.80566124
3058,14.43026891,51.67091738
3096,14.19931694,51.83042215
3099,14.19707415,51.75866068
3103,14.1349807,51.60673838
3116,14.23916573,51.66491675
3119,14.21020058,51.56028014
3130,14.38222735,51.58945406
3149,14.59260946,51.74236539
3159,14.62273076,51.63848544
3172,14.61704434,51.95105935
3185,14.4145334,51.89159966
3197,14.52742278,51.8750286
3205,13.89872525,51.72934506
3222,13.95334289,51.84499903
3226,14.07492106,51.79046413
3229,14.02063274,51.66003309
3238,13.72734129,51.60667767
3246,13.77244427,51.7128256
3249,13.63784709,51.70002964
3253,13.49098727,51.61954123
4103,12.39012616,51.3274998
4105,12.35763482,51.34966666
4107,12.36867602,51.33026057
4109,12.36356907,51.33855484
4129,12.39065812,51.36859269
4155,12.36315963,51.36107525
4157,12.36680813,51.37566046
4158,12.33287362,51.40057263
4159,12.30227774,51.37571567
4177,12.33068292,51.33785367
4178,12.27149511,51.35134599
4179,12.31795018,51.3536435
4205,12.26243574,51.32486136
4207,12.27074588,51.30328335
4209,12.29024324,51.31901036
4229,12.33709831,51.32187691
4249,12.29978341,51.27017782
4275,12.37204696,51.31974315
4277,12.37324066,51.30418165
4279,12.39871366,51.29241511
4288,12.47147664,51.2912865
4289,12.42768919,51.2985445
4299,12.42525282,51.31967927
4315,12.40666254,51.34412442
4316,12.45497607,51.32846499
4317,12.40288011,51.32934959
4318,12.42575408,51.33698794
4319,12.49871362,51.34101155
4328,12.44329109,51.34591238
4329,12.4686375,51.35945
4347,12.42380375,51.36143907
4349,12.44445582,51.39113294
4356,12.41556752,51.41600887
4357,12.40933583,51.37922202
4416,12.38291968,51.26319845
4420,12.20889856,51.29298007
4425,12.50181704,51.39072953
4435,12.22124459,51.39984974
4442,12.32345761,51.21972081
4451,12.54408035,51.35511848
4463,12.46229332,51.23759784
4509,12.36282899,51.53772317
4519,12.36161606,51.47040761
4523,12.24017075,51.16461344
4539,12.30698776,51.13298769
4552,12.50316287,51.11045089
4564,12.37499479,51.20658993
4565,12.39468638,51.10099223
4567,12.55069954,51.17174012
4571,12.4934727,51.19808449
4575,12.4378484,51.14677639
4600,12.43645918,50.98763169
4603,12.49299324,50.98047717
4610,12.37784209,51.05423211
4613,12.3340241,51.08560593
4617,12.33638889,51.00679821
4618,12.58369307,50.94273154
4626,12.30552054,50.90257088
4639,12.42814969,50.87405823
4643,12.67819824,51.03823547
4651,12.66011981,51.14761005
4654,12.57838891,51.05049626
4668,12.74039911,51.21871837
4680,12.8275643,51.12662428
4683,12.57353537,51.2780753
4687,12.70354411,51.28687618
4703,12.94386732,51.18022644
4720,13.13521646,51.13313691
4736,13.04334176,51.07252708
4741,13.1818085,51.08337422
4746,12.98894443,51.11353473
4749,13.12946329,51.20116808
4758,13.13406208,51.3380325
4769,13.02810109,51.23065549
4774,12.98553166,51.386888
4779,12.96600998,51.29886385
4808,12.80026439,51.3855275
4821,12.6211547,51.32662113
4824,12.56736688,51.32605886
4827,12.62311727,51.36327786
4828,12.69372497,51.3443292
4838,12.60735337,51.49884938
4849,12.66796679,51.59539318
4860,12.95119927,51.55344825
4861,13.01645498,51.50881497
4862,12.82105631,51.50561476
4874,13.10622017,51.4564757
4880,12.82114795,51.62519308
4886,13.14581205,51.52927392
4889,12.96463679,51.45347754
4895,13.22543437,51.58592456
4910,13.5106866,51.46547582
4916,13.23151593,51.76187031
4924,13.38916951,51.53573552
4928,13.63123438,51.46508262
4931,13.31399335,51.4714357
4932,13.55228267,51.40367608
4934,13.54837592,51.5079386
4936,13.40428469,51.74364099
4938,13.32194263,51.60937068
6108,11.96157108,51.48579875
6110,11.97372882,51.46831365
6112,11.99727549,51.46933317
6114,11.96199592,51.50025449
6116,12.03554363,51.47875411
6118,11.98606951,51.51937048
6120,11.89465095,51.51478121
6122,11.9289224,51.48382423
6124,11.93055555,51.46994534
6126,11.8939945,51.47683514
6128,11.94649267,51.4465669
6130,11.98022268,51.45150991
6132,11.9875172,51.42604458
6179,11.79945026,51.44312146
6184,12.07956769,51.44569426
6188,12.12200158,51.52555233
6193,11.90661889,51.59158468
6198,11.77748373,51.53606122
6217,11.9674675,51.34590156
6231,12.08569438,51.28353301
6237,12.13033774,51.34218817
6242,11.87452436,51.29946847
6246,11.85412395,51.37595919
6249,11.79074275,51.2907255
6255,11.78683751,51.35021745
6258,12.06205429,51.38942584
6259,11.93116167,51.31232434
6268,11.54462638,51.35436741
6279,11.62641976,51.44019645
6295,11.56433684,51.5322978
6308,11.49328072,51.58522398
6311,11.49363978,51.55122314
6313,11.47407149,51.52551877
6317,11.66600248,51.48882637
6333,11.49021577,51.65335964
6343,11.4045289,51.58171681
6347,11.63529899,51.62228829
6366,11.97001677,51.74671357
6369,12.03755537,51.70583442
6385,12.02536987,51.84070309
6386,12.05586333,51.7997806
6388,11.92058192,51.68087742
6406,11.76509013,51.77048153
6408,11.66695447,51.80769864
6420,11.76851004,51.68593538
6425,11.64904547,51.73511221
6429,11.79002446,51.85064376
6449,11.47744471,51.7721225
6456,11.39648027,51.65804063
6458,11.2826671,51.86293146
6463,11.34301874,51.73882755
6464,11.36925983,51.79130224
6466,11.28630574,51.81583021
6467,11.30684509,51.78016361
6469,11.33886193,51.80797001
6484,11.16702499,51.80055899
6485,11.11915693,51.70247328
6493,11.17704931,51.63583261
6502,11.02509775,51.71274622
6526,11.26369151,51.52569045
6528,11.2044967,51.44533914
6536,11.01511559,51.52409588
6537,11.11321505,51.42982012
6542,11.41302667,51.43490246
6543,11.26858032,51.66479665
6556,11.268891,51.36304348
6567,11.12428699,51.36656653
6571,11.40435071,51.2860647
6577,11.22337348,51.28357777
6578,11.13557499,51.2878216
6618,11.82895483,51.11780452
6628,11.7062032,51.13423545
6632,11.76305093,51.23395835
6636,11.6628997,51.23543517
6638,11.63953525,51.28018025
6642,11.47827755,51.26262689
6647,11.56892301,51.20072483
6648,11.53388753,51.12782866
6667,11.95568101,51.20564873
6679,12.13108322,51.15214917
6682,12.01167451,51.12694646
6686,12.12912468,51.22713772
6688,12.0201491,51.26265793
