source,full_name,country,url,filename,file_type,active,short_description,long_description,download_method
bnetza,Bundesnetzagentur,DE,https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/ErneuerbareEnergien/ZahlenDatenInformationen/VOeFF_Registerdaten/2019_01_Veroeff_RegDaten.xlsx?__blob=publicationFile&v=2,2019_01_Veroeff_RegDaten.xlsx,data,yes,Bundesnetzagentur register of renewable power plants (excl. PV),,get
bnetza_pv_historic,bnetza_pv_historic?,DE,https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/ErneuerbareEnergien/ZahlenDatenInformationen/PV_Datenmeldungen/Archiv_PV/Meldungen_Aug-Juni2017.xlsx?__blob=publicationFile&v=2,Meldungen_Aug-Juni2017.xlsx,data,yes,Bundesnetzagentur register of PV power plants,,get
bnetza_pv,bnetza_pv?,DE,https://www.bundesnetzagentur.de/SharedDocs/Downloads/DE/Sachgebiete/Energie/Unternehmen_Institutionen/ErneuerbareEnergien/ZahlenDatenInformationen/PV_Datenmeldungen/Meldungen_Juli17-Jan19.xlsx?__blob=publicationFile&v=2,Meldungen_Juli17-Jan19.xlsx,data,yes,Bundesnetzagentur register of PV power plants,,get
Amprion,Amprion,DE,https://www.netztransparenz.de/portals/1/Netztransparenz%20Anlagenstammdaten%202018%20Amprion%20GmbH.zip,Netztransparenz Anlagenstammdaten 2018 Amprion GmbH.zip,data,yes,Netztransparenz.de - information platform of German TSOs (register of renewable power plants in their control area),,get
TransnetBW,TransnetBW,DE,https://www.netztransparenz.de/portals/1/Netztransparenz%20Anlagenstammdaten%202018%20TransnetBW%20GmbH.zip,Netztransparenz Anlagenstammdaten 2018 TransnetBW GmbH.zip,data,yes,Netztransparenz.de - information platform of German TSOs (register of renewable power plants in their control area),,get
50Hertz,50Hertz,DE,https://www.netztransparenz.de/portals/1/Netztransparenz%20Anlagenstammdaten%202018%2050Hertz%20Transmission%20GmbH.zip,Netztransparenz Anlagenstammdaten 2018 50Hertz Transmission GmbH.zip,data,yes,Netztransparenz.de - information platform of German TSOs (register of renewable power plants in their control area),,get
TenneT,Tennet,DE,https://www.netztransparenz.de/portals/1/Netztransparenz%20Anlagenstammdaten%202018%20TenneT%20TSO%20GmbH.zip,Netztransparenz Anlagenstammdaten 2018 TenneT TSO GmbH.zip,data,yes,Netztransparenz.de - information platform of German TSOs (register of renewable power plants in their control area),,get
Energistyrelsen,Energystyrelsen,DK,https://ens.dk/sites/ens.dk/files/Statistik/anlaegprodtilnettet.xls,anlaegprodtilnettet.xls,data,yes,Energy Agency Denmark,"The Danish Energy Agency publishes a national master data register for wind turbines which was created in collaboration with the transmission system operators. The publication is monthly as an Excel file. The data set includes all electricity-generating wind turbines with information about technical data, location data and production data.",get
Energinet,Energinet,DK,https://data.open-power-system-data.org/renewable_power_plants/2018-03-08/original_data/SolcellerGraf-2016-11.xlsx,SolcellerGraf-2016-11.xlsx,data,no,Transmission system Operator in Denmark,"The photovoltaic statistic used to be published from Energinet, included information about location, year of implementing, installed capacity and number of systems. Since Energinet stopped publishing this, and the Danish Energy Agency, which has taken over the job of keeping that register has not published a register yet, we revert to old data for Danish solar from our previous OPSD data package version.",get
gouv.fr,Ministère de la Transition écologique et solidaire,FR,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-01/donnees-locales-2017-loi2000-secretise.xls,donnees-locales-2017-loi2000-secretise.xls,data,yes,Ministry for the Ecological and Inclusive Transition,The data is annually published on the French [website for statistics](https://www.statistiques.developpement-durable.gouv.fr/donnees-locales-relatives-aux-installations-de-production-delectricite-renouvelable-beneficiant-0?rubrique=23&dossier=189) as an Excel file. The Excel chart includes number and installed capacity of the different renewable source for every municipality in France. It is limited to the plants which are covered by article 10 of february 2000 by an agreement to a purchase commitment.,get
ODRE,Open Data Réseaux Energies,FR,https://opendata.reseaux-energies.fr/explore/dataset/registre-national-installation-production-stockage-electricite-agrege-311218/download/?format=csv&timezone=Europe/Berlin&lang=fr&use_labels_for_header=true&csv_separator=%3B,registre-national.csv,data,yes,Platform Open Data Réseaux Énergies (ODRÉ) with various open and free data sets,"This register presents the electricity production and storage facilities connected directly or indirectly to public electricity networks in mainland France and in non-interconnected areas (ZNI) as of December 31, 2018.",
Urzad Regulacji Energetyki,Urzad Regulacji Energetyki,PL,https://www.ure.gov.pl/download/9/10922/Instalacjeodnawialnychzrodelenergiiwgstanunadzien31grudnia2019r.xlsx,Instalacje_odnawialnych_zrodel_energii_wg_stanu_na_dzien_31_grudnia_2019_r_.xlsx,data,yes,Energy Regulatory Office of Poland,"Installed capacities of renewable-energy power plants in Poland. The plants are anonymized in the sense that no names, post codes or geographical coordinates are present. They are described by: the energy type their use, installed capacity, województwo (province) and powiat (district) that they are located in.",get
BFE,Bundesamt für Energie,CH,https://pubdb.bfe.admin.ch/de/publication/download/9669,9669-Liste aller KEV-Bezüger im Jahr 2018.xlsx,data,yes,Swiss Federal Office of Energy,Data of all renewable power plants receiving 'Kostendeckende Einspeisevergütung' (KEV) which is the Swiss feed in tarif for renewable power plants. Geodata is based on municipality codes.,get
BEIS,"UK Government Department for Business, Energy & Industrial Strategy",UK,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/880735/renewable-energy-planning-database-march-2020-update.csv,renewable-energy-planning-database-march-2020-update.csv,data,yes,Renewable Energy Planning Database quarterly extract,"The Renewable Energy Planning Database (REPD) is managed by Eunomia Research and Consulting Ltd (Eunomia) on behalf of the Department of Business, Energy & Industrial Strategy (BEIS). The database tracks the progress of renewable electricity projects (including those that could also be used for combined heat and power (CHP)).",get
Vindbrukskollen,Vindbrukskollen,SE,http://ext-dokument.lansstyrelsen.se/Gemensamt/Geodata/Externa%20dokument/VBK/VBK_export_allman_prod.xlsx,VBK_export_allman_prod.xlsx,data,yes,Wind farms in Sweden.,,get
ERU,Energetický regulační úřad,CZ,http://licence.eru.cz/index.php,eru.csv,data,yes,Energy Regulatory Office,Renewable-energy facilities in Czech Republic.,scrape
Geonames,GeoNames,DK,http://download.geonames.org/export/zip/DK.zip,DK.zip,geo,yes,Geoinformation on postal codes in Denmark,,
Opendatasoft,Opendatasoft,FR,http://public.opendatasoft.com/explore/dataset/code-postal-code-insee-2015/download/?format=csv&timezone=Europe/Berlin&use_labels_for_header=true,code-postal-code-insee-2015.csv,geo,yes,Code Postal - Code INSEE,,get
Geonames,GeoNames,CH,http://download.geonames.org/export/zip/CH.zip,CH.zip,geo,yes,Geoinformation on postal codes in Switzerland,,get
Geonames,GeoNames,UK,http://download.geonames.org/export/zip/GB_full.csv.zip,GB_full.csv.zip,geo,yes,Geoinformation on postal codes in the United Kingdom,,get
Geonames,GeoNames,SE,http://download.geonames.org/export/zip/SE.zip,SE.zip,geo,yes,Geoinformation on postal codes in Sweden,,get
Geonames,GeoNames,CZ,http://download.geonames.org/export/zip/CZ.zip,CZ.zip,geo,yes,Geoinformation on postal codes in Czech Republic,,get
Geonames,GeoNames,PL,http://download.geonames.org/export/zip/PL.zip,PL.zip,geo,yes,Geoinformation on postal codes in Poland,,get
